id,name,category,citation,chapter,actor,domain,layer,module,algorithm,rule,worked_expression,has_expression
154,Environment Vector Normalization,Internal,§104.3,104,—,D3 Ontology & Conceptual Structure,Knowledge,D3.ch104,"Store a world-state snapshot once as a content-addressed record carrying its own TemporalAnchor, typed Ontology-Mesh-resolved condition keys, confidence, provenance and T_attested; reference it from Fact Units through a reserved AnnotationSet key so no schema field is added; converge identical condition sets on one vector with two provenance branches; correct by supersession so every referencing record resolves to the corrected state on next traversal.","Identical canonicalized condition sets yield an identical content hash and therefore one vector, not two.","=IF(COUNTIF({""a1f3c7"",""b2c9e1""},""a1f3c7"")>0,""Reference existing vector"",""Create new vector"")",True
155,Causal Edge Temporal Validation,Internal,§104.4,104,—,D3 Ontology & Conceptual Structure,Knowledge,D3.ch104,"Admit a CAUSES edge only where the source TemporalAnchor does not begin after the target's begins; refuse otherwise and record the attempted assertion in the Chapter 17 contradiction index; permit concurrent and overlapping causation; never promote TEMPORAL_FOLLOWS to CAUSES automatically; express chains as Bundle membership with chain length, root and outcome computed at query time rather than stored.","CAUSES admitted iff T_start(source) <= T_start(target); duration is derived at query time, never stored.","=IF(DATE(2020,3,1)<=DATE(2020,3,15),""CAUSES edge admitted"",""Refused - effect precedes cause"")",True
156,Bayesian ConfidenceScore Posterior Update,Internal,§41.6.2.1–.2,41,—,"D5 Inference, Prediction & Calibration",Reasoning,D5.ch41,"Hold ConfidenceScore as Beta parameters alpha (supporting evidence) and beta (contradicting evidence) rather than a scalar; report CS as alpha/(alpha+beta); update in closed form by adding the observing source's reliability weight to whichever parameter the evidence supports, so revision magnitude falls as accumulated evidence grows without any rule conditioned on it; decay shrinks both parameters toward the prior, widening the credible interval while preserving the mean.","CS = alpha/(alpha+beta); posterior by conjugate addition alpha' = alpha + w*s, beta' = beta + w*f; order-independent.",=18/(18+2+1),True
157,Prior-Strength Resistance Check,Internal,§41.6.2.3,41,—,"D5 Inference, Prediction & Calibration",Reasoning,D5.ch41,"Initialise Beta parameters for a concept node from ConceptStabilityWeight, which sets the pseudo-count n0 = alpha+beta while the current confidence sets the ratio; a high-CSW node therefore requires multi-source contradicting evidence to revise, which is the behaviour §41.4.5 asserts and the additive rule does not produce.",Revision from a single contradiction against a strong prior must fall below the increment the additive rule would have applied.,"=IF(0.9-18/(18+2+1)<0.05,""Strong prior resists single contradiction"",""Revision exceeds tolerance"")",True
158,Precision-Weighted Error Propagation,Internal,§41.6.4.2,41,—,"D5 Inference, Prediction & Calibration",Reasoning,D5.ch41,"Compute an error signal's precision as inverse variance from the Beta parameters already held under §41.6.2; propagate a contradiction upward to World Brain concept attributes by a gain equal to the error's share of total precision, so a poorly-supported observation barely revises a settled concept while a well-established one substantially revises a weakly-held concept; replaces the ConfidenceScore-differential magnitude of §41.5.1.","gain = var_prior / (var_prior + var_error), equivalently pi_error / (pi_error + pi_prior); var = CS(1-CS)/(alpha+beta+1).",=((180/200)*(20/200)/201)/(((180/200)*(20/200)/201)+((1/2)*(1/2)/3)),True
159,Low-Precision Error Suppression,Internal,§41.6.4.3,41,—,"D5 Inference, Prediction & Calibration",Reasoning,D5.ch41,Withhold model revision entirely where the computed gain falls below a configured floor rather than applying an arbitrarily small revision; record each withheld contradiction in the Chapter 17 contradiction index so a pattern of individually-insignificant errors against one attribute stays queryable.,"Revision is withheld where gain < configured floor; withheld contradictions are retained, not discarded.","=IF(((180/200)*(20/200)/201)/(((180/200)*(20/200)/201)+((1/2)*(1/2)/3))<0.05,""Low-precision error suppressed"",""Model revision applied"")",True
160,Physical Constraint Enforcement,Internal,§53.9.2,53,—,D6 World Model & Perception,Knowledge,D6.ch53,"Evaluate every registered physical constraint whose applicability predicate a candidate scene completion satisfies; refuse the completion where the residual exceeds tolerance and regenerate with the implicated field left unspecified, so a completion with an acknowledged gap is returned in preference to a physically impossible one; constraints are evaluated before plausibility scoring and a refused completion never appears in the ranked output at any score.","Admissible iff |residual| <= tolerance, tolerance taken relative to the magnitude of the conserved quantity.","=IF(ABS((2*1+1*4)-(2*3+1*0))<=0.02*(2*3+1*0),""Completion admitted"",""Refused - conservation residual exceeds tolerance"")",True
161,Constraint Residual Computation,Internal,§53.9.2,53,—,D6 World Model & Perception,Knowledge,D6.ch53,"Compute the expected value of a constrained quantity from the registered closed-form residual expression in SI base units and compare against the completion's asserted value; record the refusal with constraint id, residual, tolerance and implicated field so a wrongly-parameterised constraint is detectable by its refusal rate rather than quietly suppressing correct inference.",Expected position under gravitational constraint h1 = h0 - 0.5*g*t^2 with g = 9.80665 m/s^2; residual is the asserted value less h1.,=2-0.5*9.80665*0.4^2,True
162,Public API Layer,Admin,§105.1,105,Operator,D12 External Integration & Analysis,Platform,D12.ch105,"Expose seven programmatic interfaces (content, query, rights, layout, assessment, edition, semantic); each resolves a scope description before traversal, no parameter widens it, an out-of-scope record yields the response for a non-existent record, and the layer carries its own Chapter 8 safety gate as an operation layer; calls are metered per calling identity and a call over budget is refused rather than served at reduced priority.","A call is served only where the calling identity's metered budget is not exceeded; refusal is by budget, never by throttling.","=IF(120<=150,""Within slice budget; served"",""Refused - slice budget exceeded"")",True
163,Plugin Architecture,Admin,§105.2,105,Operator,D12 External Integration & Analysis,Platform,D12.ch105,"Register a third-party component against a declared capability set on the Source Connector Registry contract; the plugin reaches knowledge only through §105.1 interfaces within the executing identity's scope, holds no direct Fact Graph or Ledger access, is refused at registration if it declares any safety operation, cannot participate in the improvement pipeline, and its output is labelled, quarantined and not citable as grounding; activation and suspension require a named human operator.",Registration is refused where the declared capability set includes any safety-evaluation operation.,"=IF(COUNTIF({""read-output"",""declare-capability""},""write-factgraph"")>0,""Activate plugin"",""Refused - capability not declared"")",True
164,Interface Versioning,Admin,§105.3,105,Operator,D12 External Integration & Analysis,Platform,D12.ch105,"Version every interface; refuse a request omitting a version rather than defaulting it; deprecate for a configured support interval with a deprecation indication, then retire naming the successor; a field may be added or deprecated within a version, while removal or a change of type or meaning requires a new version; a citation issued under an earlier version remains valid.",A request is served only where the requested version is registered and not retired.,"=IF(AND(2>=1,2<=3),""Served under requested version"",""Refused - version retired"")",True
165,Collaborative Reading,User-Facing,§105.4,105,Reader,D9 Interaction Surfaces,Experience,D9.ch105,"Establish a session shared by several readers over one work; present a shared view comprising the intersection of participants' scope descriptions, never the union; a record traversable by one participant and not another is absent and its absence is not reported; annotations keep their own ACLs; queries resolve against the intersection so no participant receives a citation another cannot open.","Shared view size is the intersection of participant scopes, not the union.","=MIN(340,275)",True
166,AR Overlay Presentation,User-Facing,§105.5,105,Reader,D9 Interaction Surfaces,Experience,D9.ch105,"Anchor displayed Fact Units with citations to physical objects in a live camera feed as a presentation surface only, under the unchanged vocabulary constraint; exclude person and animal classifications entirely at any confidence; capture and derive no gaze, dwell, head-pose or attention signal and expose none to commerce or plugins; display no overlay where object identification does not clear its threshold.","A person- or animal-classified result is never anchored, at any confidence and in any configuration.","=IF(COUNTIF({""object"",""person"",""animal""},""person"")>0,""Excluded from overlay"",""Anchor overlay to object"")",True
167,Voice Navigation,User-Facing,§105.6,105,Reader,D9 Interaction Surfaces,Experience,D9.ch105,"Accept spoken command and query input under explicit session-scoped revocable consent, distinct from prosodic analysis; route the transcription through the Language Command Router separating query from operational intent; request clarification below the confidence threshold rather than selecting an interpretation; discard audio after transcription; derive no voiceprint or biometric identifier; require second-modality confirmation for any state-changing instruction.",Intent is applied only where classification clears the configured confidence threshold under active consent.,"=IF(AND(1=1,0.82>=0.7),""Routed as operational intent"",""Clarification requested"")",True
168,Spoiler Protection,User-Facing,§105.7,105,Reader,D9 Interaction Surfaces,Experience,D9.ch105,"Record a reader progress marker and a narrative position for each Fact Unit of the work; bound the reader's scope description by the marker so a later-disclosed record is not traversable rather than masked in a rendered answer; state that an answer lies beyond the current position without disclosing its content; reader election with an author-configurable default, never applied to an instructor, researcher or author over their own work.",A Fact Unit is traversable only where its narrative position does not exceed the reader's progress marker.,"=IF(14<=22,""Within reader position; shown"",""Masked - beyond reader position"")",True
169,Learner Progress Tracking,User-Facing,§105.8,105,Student / Instructor,D14 Learning & Assessment,Experience,D14.ch105,"Record position reached, items attempted, responses submitted and outcomes scored against the Fact Units the items were generated from; compute mastery as the proportion of objective-attributable items answered correctly against a threshold; bound instructor visibility by a time-scoped class grant so expiry removes it without further action; generate no aptitude inference, forecast or comparative ranking, and admit no progress record as a calibration subject.","Mastery = correct items attributable to the objective / items attempted, against the configured threshold.","=IF(17/20>=0.8,""Objective met"",""Continue practice"")",True
170,LMS Integration,Admin,§105.9,105,Operator / Instructor,D12 External Integration & Analysis,Platform,D12.ch105,"Connect a learning management system through the Source Connector Registry under a declared capability set; refuse an undeclared operation at the boundary rather than attempting it; a roster read establishes instructor grant scope and confers no entitlement; a grade write transmits the outcome alone with no Fact Unit, response text or history; record every transmission with connector identity, capability exercised and fields sent.",An operation proceeds only where its capability is declared in the registered connector contract.,"=IF(COUNTIF({""roster-read"",""grade-write""},""grade-write"")>0,""Grade passback permitted"",""Refused - capability undeclared"")",True
171,Multi-Edition Print Layout,Admin,§105.10,105,Publisher,"D10 Authoring, Editions & Publication",Experience,,"Compose a work into paginated print-ready form per edition from common Fact Units through regeneration, so an edition is a rendering rather than a copy; perform rights validation for territory, quantity and interval before composition and carry a reference to it in the composed form; reproduce wording-operative spans verbatim with non-operative glosses marked; compose accessible equivalents at the same production stage; keep pagination deterministic so page references stay valid.","Composition proceeds only where rights validation permits print reproduction in the requested territory, quantity and interval.","=IF(AND(1=1,3<=3),""Print export authorized"",""Refused - rights or edition count"")",True
172,Certification,User-Facing,§105.11,105,Instructor / Student,D14 Learning & Assessment,Experience,D14.ch105,"Issue a credential on both a measured outcome meeting the configured threshold and an identity established to the issuer's standard; carry as provenance the objectives assessed, items presented, source Fact Units, thresholds applied and issuing identity; permit third-party verification of issuance and non-revocation without disclosing the holder's responses; attest to the measured outcome and nothing further; record revocation rather than deleting.",Issuance requires threshold satisfaction AND identity establishment; neither alone suffices.,"=IF(AND(0.85>=0.8,1=1),""Credential issued"",""Withheld - threshold or identity unmet"")",True
173,Rights and Licensing Portal,Admin,§105.12,105,Operator / Publisher,"D8 Access, Rights & Retention",Experience,,"Expose the licence and entitlement mechanism through a portal under the existing role model and time-scoped grants; the portal renders capability and confers none; rights holders view licences, outstanding entitlements and the audit record, operators administer seats and assignment within role scope, grantees hold a read-only view of grants over them; record every action with acting identity and stated reason; a revocation takes effect at the next query execution.",A portal action is available only where the acting role already holds that capability elsewhere.,"=IF(COUNTIF({""view"",""revoke""},""grant"")>0,""Action available to role"",""Read-only view"")",True
174,Hyperedge Attention,Internal,§53.7.1,53,—,D6 World Model & Perception,Knowledge,D6.ch53,"Where a reasoning operation traverses a hyperedge linking several Fact Units, weight each constituent's contribution by its own ConfidenceScore and its degree of corroboration with the hyperedge's other constituents, rather than contributing equally regardless of reliability. Under §41.6.2 those two quantities are the Beta posterior mean and the accumulated evidence count, so the weight is the product of the two parameters the confidence representation already holds. A weighting refinement over the World Model Domain's existing hypergraph traversal, not a new traversal mechanism.","Constituent weight = CS_i * (alpha_i + beta_i), normalized across the hyperedge's constituents.",=0.92*20/(0.92*20+0.85*6+0.78*3),True
175,Attractor-Based Hyperedge Completion,Internal,§53.7.2,53,—,D6 World Model & Perception,Knowledge,D6.ch53,"Complete a partially-observed hyperedge — a geometric contour with observed points and gaps — by applying the Attractor Network's existing convergence dynamics (§7.2.4) to the constituent set as a whole, converging toward the most consistent complete configuration given the observed constituents and their §53.7.1 attention weights. Distinct from WorldModel.Infer, which completes a general scene by Schema, Physics, Affordance and Relation rules: this is geometric, hyperedge-granular and convergence-based. It introduces no dynamical system of its own; it is Claim 6's mechanism applied at hyperedge granularity.",Completion is admitted only where attention-weighted support for the converged configuration clears the configured floor.,"=IF(0.712>=0.6,""Hyperedge completed"",""Insufficient support - gap reported"")",True
176,Domain Transfer Matrix,Internal,§106.4,106,—,D0 Prime Directive,Governance (vertical),D0.ch106,"Assign every ordered pair of domains a permission of ALLOW, DENY or TRANSFORM-REQUIRED; evaluate it at each boundary crossing; treat a pair with no entry as DENY; record every crossing in the Provenance Ledger with source domain, target domain and permission applied. The denials carry the accuracy guarantees: D12 to D4 denied so analysis never grounds an answer, D13 to D4 and D7 denied so commerce never influences retrieval or generation, D9 to D2 denied so no surface bypasses the slice, D11 to D0 denied so governance cannot amend the Prime Directive.",A crossing proceeds only where the matrix entry is ALLOW or a satisfied TRANSFORM-REQUIRED; an absent entry is DENY.,"=IF(COUNTIF({""ALLOW"",""TRANSFORM-REQUIRED""},""DENY"")>0,""Transfer permitted"",""Refused - DENY edge in matrix"")",True
177,Query/Ingestion Path Separation,Internal,§106.3,106,—,D0 Prime Directive,Governance (vertical),D0.ch106,"Partition domains so the latency-critical query path (D8, D4, optionally D5, D7) and the batch ingestion path (D1, D2, D3, D6, D5) intersect only at D0 and D2; resolve contention at D0 by safety-category priority and at D2 by storage tiering; keep extraction out of the retrieval domain so a retrieval never blocks on an extractor and an extraction never blocks on attractor convergence.",Intersection of the query-path and ingestion-path domain sets must not exceed two (governance and substrate).,"=IF(2<=2,""Path separation holds"",""Contention risk - shared domain on both paths"")",True
178,Domain Slice Priority Ordering,Internal,§106.5,106,—,D0 Prime Directive,Governance (vertical),D0.ch106,"Meter each domain's operations as bounded compute-accounting units carrying that domain's identifier and fix scheduling priority by domain: D0 highest without exception, D13 lowest so contention omits the commercial region rather than delaying the answer, and latency-path domains ahead of batch-path domains; contain each domain's failure to its own capability, with a D0 failure halting the operation rather than allowing it to proceed unevaluated.",Governance domain priority must strictly precede commerce domain priority in the scheduling order.,"=IF(0<13,""Safety slice served ahead of commerce slice"",""Priority inversion"")",True
179,Undiscriminated Hypothesis Detection,Internal,§97.8.1,97,—,"D5 Inference, Prediction & Calibration",Reasoning,D5.ch97,Detect continuously where two hypotheses concerning a common subject have posteriors within the configured separation floor while each exceeds a minimum support count; mark the pair undiscriminated and invoke §97.8.2. A pair in which one hypothesis is weakly supported is under-evidenced rather than undiscriminated and is routed to the existing evidence-seeking mechanism instead.,Undiscriminated where |P(H1) - P(H2)| < separation floor and both accumulated evidence counts exceed the minimum.,"=IF(ABS(12/16-11/16)<0.15,""Undiscriminated - generate crucial instance"",""Separated; no instance required"")",True
180,Discriminating Instance Selection,Internal,§97.8.2,97,—,"D5 Inference, Prediction & Calibration",Reasoning,D5.ch97,"For each obtainable candidate observation compute the magnitude of the difference between its likelihood under each hypothesis, and select the maximum; select irrespective of how probable either hypothesis considers the observation, so an observation both predict equally is never selected; withhold generation where no candidate clears the discrimination floor; emit a structured request stating both hypotheses' posteriors under presence and under absence, so the outcome is interpretable before the observation is obtained.",discrimination(E) = |P(E|H1) - P(E|H2)|; the selected instance maximises it and must clear the discrimination floor.,"=MAX(ABS(0.9-0.85),ABS(0.88-0.2),ABS(0.55-0.5))",True
181,Hybrid and Edge Deployment Topology,Admin,§107.1,107,Operator,D11 Platform Governance & Evolution,Platform,D11.ch107,"Add hybrid topology (substrate and access domains in customer infrastructure, media and immersive assets in operator infrastructure, scope resolved customer-side and travelling with the request) and edge topology (frequency-selected cache near a reader concentration, holding no authority, answering only where the requester's scope admits every cached record consulted and escalating otherwise, performing no ingestion and constructing no scope); the Chapter 106 domain partition is invariant across all five topologies.",An edge node serves from cache only where scope admits every cached record consulted and currency is verified; otherwise it escalates.,"=IF(AND(1=1,45<=80),""Edge node serves from local cache"",""Escalate to origin mesh"")",True
182,Media and Immersion Interfaces,Admin,§107.3,107,Operator,D9 Interaction Surfaces,Experience,,"Extend the §105.1 interface set with a media interface returning deterministic transformations (semantic compression, expansion, colorization, resolution enhancement) carrying the provenance of the transformation, and an immersion interface returning scene descriptions assembled from spatially-detailed records; both resolve a scope before traversal, widen none, carry their own safety gate, capture no gaze or attention signal, and withhold rather than fabricate where detail is insufficient.",An interface call is served only where the requested interface is a registered member of the interface set.,"=IF(COUNTIF({""content"",""query"",""rights"",""layout"",""assessment"",""edition"",""semantic"",""media"",""immersion""},""media"")>0,""Interface registered"",""Refused - unknown interface"")",True
183,Domain Module Replacement,Admin,§107.2,107,Operator,D11 Platform Governance & Evolution,Platform,D11.ch107,"Permit a domain's implementation to be exchanged where the replacement implements every interface the replaced domain exposed at each version still within its support interval, satisfies every transfer-matrix entry in which that domain appeared as source or target, and is admitted through the improvement-proposal mechanism with a named human approval; Domain 0 is a member of the permanently-excluded set and is not replaceable.",Replacement admitted only where interface-version conformance and transfer-matrix conformance both hold.,"=IF(AND(2>=2,3<=3),""Module replacement admitted"",""Refused - interface contract unmet"")",True
184,Parallel Multilingual Presentation,User-Facing,§107.4,107,Reader,D7 Grounded Expression,Reasoning,,"Present two or more language realizations of a work simultaneously, aligned by knowledge record rather than by page or sentence position, each generated from the same records so alignment is a property of shared provenance and cannot drift; a citation in either realization resolves to the same record; a record without a realization in one language shows as a gap rather than being filled from the other; wording-operative spans stay in source language in every realization with glosses rendered per target language.",Alignment confidence is bounded by the least confident of the aligned realizations.,"=MIN(0.94,0.91)",True
185,Tenant-Scoped Key Custody,Admin,§107.5,107,Operator,"D8 Access, Rights & Retention",Experience,D8.ch107,"Scope each encryption key to a tenant or deployment so a key of one tenant decrypts no content of another; hold key material within a hardware or equivalent custody boundary where configured, so the system holds a handle and every use is a call across the boundary rather than a read of key material; the zero-knowledge reader-history election and the no-operator-key message channel classification are unchanged and are not weakened by the presence of a hardware module.",A decryption proceeds only where a key scoped to the requesting tenant resolves.,"=IF(COUNTIF({""tenant-A"",""tenant-B""},""tenant-A"")>0,""Key resolved for tenant"",""Refused - no tenant key"")",True
186,Signed Provenance Ledger Verification,Admin,§107.5,107,Operator,"D8 Access, Rights & Retention",Experience,D8.ch107,"Sign each provenance chain node under a deployment key in addition to its keyed checksum, so a third party holding the verification key can confirm that a recorded operation and its recorded safety evaluation are as written, without access to the producing system; verification establishes fidelity of the record and nothing about the correctness of the operation recorded.",A ledger entry is admitted to a verification report only where its signature verifies against the deployment key.,"=IF(0.88>=0.8,""Signature verified; entry admitted"",""Refused - ledger signature mismatch"")",True
187,Reasoning Mode Classification,Internal,§108.1,108,—,"D5 Inference, Prediction & Calibration",Reasoning,D5.ch108,"Classify every inference as entailed (a conclusion following necessarily from admitted records) or conjectural; admit an entailed conclusion as a knowledge record with a derived-inference type and a confidence equal to the product of the contributing edge confidences; withhold a conjectural conclusion from admission and emit it with status PROPOSED, with no automated process configured to transition it to VALIDATED. Deduction may write to the knowledge store; induction and abduction may not.",An inference is admitted as a record only where it is entailed; a conjectural inference is emitted PROPOSED and creates nothing.,"=IF(COUNTIF({""entailed"",""conjectural""},""conjectural"")>0,""Refused - emit as PROPOSED"",""Admit as fact"")",True
188,Inductive Support Threshold,Internal,§108.3,108,—,"D5 Inference, Prediction & Calibration",Reasoning,D5.ch108,"Operate the evidence-integration layer: accumulate corroborating and contradicting evidence as posterior parameters, weight corroboration by source independence, elevate confidence for cross-modal agreement within a temporal window, hold a concept provisional until the consolidation count is met, and retain every contradiction too weak to revise the model so a pattern of individually-insignificant negatives stays queryable. A generalization is emitted only where subordinate support and evidential strength both clear their floors.",A generalization is proposed only where the subordinate count clears the minimum and the supporting evidence exceeds the contradicting evidence.,"=IF(AND(4>=3,0.78>0.62),""Inductive support sufficient; hypothesis proposed"",""Insufficient - no proposal"")",True
189,Observation Diversity Measure,Internal,§41.6.5.2,41,—,"D5 Inference, Prediction & Calibration",Reasoning,D5.ch41,Attribute every increment of the confidence parameters to a registered source class and compute the effective number of contributing classes as the reciprocal of the summed squared weight proportions; admit a corroboration from an already-dominant class at reduced weight; require a diversity floor as well as a count floor before proposing a generalization; attenuate precision-weighted revision where a contradiction's diversity approaches unity; and disclose concentration in an output relying on a record below the diversity threshold.,D = 1 / sum_i (w_i / sum_j w_j)^2 over registered source classes; D=1 where all weight is in one class.,=1/((8/20)^2+(4/20)^2+(4/20)^2+(2/20)^2+(2/20)^2),True
190,Context Modulation,Internal,§109.2,109,—,D9 Interaction Surfaces,Experience,D9.ch109,"Modulate an already-admissible result for device class, network condition, session type and referenced environment record: select among entitled editions, offer an available media transformation, adapt layout, and supply a temporal or edition scoping hint. Where a context signal would select an unentitled edition, fall back to an entitled one and disclose the fallback. Rights enforcement is not an output of this layer; the Slice Resolver and rights validation decide availability before any modulation runs.",A modulation is applied only where it leaves the admissible record set unchanged; otherwise it is refused.,"=IF(AND(1=1,0=0),""Modulation applied within admissible set"",""Refused - would alter admissible set"")",True
191,Perspective Modulation,Internal,§109.3,109,—,D9 Interaction Surfaces,Experience,D9.ch109,"Modulate framing by the role a requester elects for the session — reader, author, instructor, student, researcher, publisher, operator — selecting which relationships among admitted records surface first and how explanations are framed; a student sees learning pathways, an author revision pathways, a publisher rights pathways over identical records. Electing a perspective confers no capability: it frames the records the requester's own entitlement already admits.","A perspective lens is applied where the elected role is registered; it alters ordering and framing, never the admitted set.","=IF(COUNTIF({""reader"",""instructor"",""operator""},""instructor"")>0,""Role lens applied"",""Default lens"")",True
192,Ergonomic Modulation,Internal,§109.4,109,—,D9 Interaction Surfaces,Experience,D9.ch109,"Modulate density, layout, legibility and emphasis from reading pace, interaction pattern, display and input characteristics, accessibility settings and the §50.4 ergonomic preference signals. A stated preference always takes precedence over an inferred signal. Compression selects among admissible records and shortens their expression without summarising beyond what they support. An inferred cognitive-load signal modulates presentation only, produces no record, and reaches no other layer, commerce or interface.",Stated preference governs wherever a stated and an inferred signal bear on the same dimension.,"=IF(COUNTIF({""stated"",""inferred""},""stated"")>0,""Stated preference governs"",""Inferred signal applied"")",True
193,Cultural Modulation,Internal,§109.5,109,—,D9 Interaction Surfaces,Experience,D9.ch109,"Modulate for locale, regional convention, idiom and localized examples, selecting among admissible expressions and entitled territory-specific editions. The cultural profile is declared by the requester, by an operator, or by an explicitly selected locale — never inferred from a name, network address, query language, device locale or behaviour. Where no equivalent is registered for a locale, render plainly rather than substituting an unregistered equivalent.",A cultural modulation applies only from a declared profile; an inferred profile is refused.,"=IF(COUNTIF({""declared"",""inferred""},""inferred"")>0,""Refused - cultural profile must be declared"",""Declared profile applied"")",True
194,Social Modulation,Internal,§109.6,109,—,D9 Interaction Surfaces,Experience,D9.ch109,"Modulate pacing, shared position, shared annotation surfaces, register and formality for class, group-reading, collaborative-authoring and instructor-guided settings, operating strictly within the intersection of participants' scope descriptions so no participant is shown a record another's entitlement excludes and no absence is disclosed. A social annotation keeps its author's identity and its own ACL, which this layer does not widen; a group setting confers no entitlement.","Social modulation operates within the intersection of participant scopes, never their union.","=MIN(340,275)",True
195,Interpretive Composition Order,Internal,§109.7,109,—,D0 Prime Directive,Governance (vertical),,"Compose the five modulations in fixed order over an already-admissible result — perspective, cultural, social, ergonomic, context — with Prime Directive review preceding and following the whole composition and overriding every layer. Composition is deterministic: identical result plus identical configuration yields identical modulated output. A stated preference overrides an inferred signal at any stage, and where two layers modulate one dimension incompatibly the later stage governs form and the earlier substance.",Governance review precedes stage 1 and follows stage 6; a stated preference overrides an inferred signal at any stage.,"=IF(0<1,""Safety modulation precedes all interpretive layers"",""Precedence inversion"")",True
196,Response Feedback Admission,Internal,§110.2,110,Reader,"D5 Inference, Prediction & Calibration",Reasoning,D5.ch110,"Record every delivered response with its query, scope description, cited records and their confidence at delivery; admit a reader's report on that response as a knowledge record through the ordinary extraction path with the reporting identity as attributed source. A report against a cited record increments that record's contradicting parameter by the source's weight — it does not set confidence, supersede the record or remove it. The reporting identity counts as a source class, so ten reports from one identity weigh less than ten from ten. A report is never admissible as grounding for the subject matter it concerns.",A contradicting report increments beta by the reporting source's reliability weight; confidence follows from §41.6.2 arithmetic.,=18/(18+2+0.85),True
197,Outcome Pairing and Subject Gate,Internal,§110.3,110,—,"D5 Inference, Prediction & Calibration",Reasoning,D5.ch110,"Admit an outcome observation recording what subsequently occurred in respect of a matter a response addressed, pair it with the response record, and refuse construction where the subject resolves to an individual natural person so no per-individual predictive record accumulates from operational use; institutional, organisational, system and aggregate-group subjects are admissible.",Construction is refused where the resolved subject class is an individual natural person.,"=IF(COUNTIF({""institution"",""process""},""individual"")>0,""Refused - individual subject"",""Outcome admitted"")",True
198,Delivered-Answer Calibration Score,Internal,§110.4,110,—,"D5 Inference, Prediction & Calibration",Reasoning,D5.ch110,"Compute over paired responses and outcomes the mean of squared differences between the confidence stated at delivery and the realised outcome, per domain and per confidence band, so a system well calibrated in one domain and poorly in another is not concealed by an aggregate; a finding of poor calibration is as reportable as one of good calibration and identifies where a confidence value should not be offered at its current precision.",score = sum (c_i - o_i)^2 / n over paired responses and outcomes.,=((0.9-1)^2+(0.85-1)^2+(0.8-0)^2+(0.75-1)^2+(0.7-0)^2)/5,True
199,Confidence Band Calibration Gap,Internal,§110.4,110,—,"D5 Inference, Prediction & Calibration",Reasoning,D5.ch110,"Compute per confidence band the difference between the proportion of realised outcomes and the mean confidence stated in that band; raise a calibration finding where the magnitude reaches the configured tolerance; emit the finding as an improvement proposal to a named human reviewer rather than applying it, with the parameters governing the measurement itself held in the permanently-excluded set so the mechanism cannot adjust the terms on which it is judged.",gap = observed outcome rate - mean stated confidence within the band; |gap| >= tolerance raises a finding.,"=IF(ABS((1+1+0+1+1)/5-(0.9+0.85+0.8+0.88+0.92)/5)>=0.05,""Calibration finding raised"",""Within tolerance"")",True
200,Expressive Register Selection,Internal,§111.1,111,—,D7 Grounded Expression,Reasoning,D7.ch111,"Select exactly one expressive register per response from a governed, versioned set — formal, plain, academic, instructional, narrative, supportive, authoritative — resolved before generation as an element of the Generation Directive and distinct from audience level and discipline mode; refuse an unregistered register rather than approximating it. A register governs voicing only: it alters no admitted record, no confidence value and no permissible vocabulary, so the authoritative register never removes a hedge a confidence value requires and the supportive register never softens an assertion the records state plainly.","A register is admitted only where it is a member of the registered set; voicing is governed by register, assertion by confidence.","=IF(COUNTIF({""formal"",""casual"",""academic"",""instructional"",""narrative"",""supportive"",""authoritative""},""academic"")>0,""Register admitted"",""Refused - unregistered tone"")",True
201,Affective Register Gate,Internal,§111.2,111,—,D7 Grounded Expression,Reasoning,D7.ch111,"Select the supportive register only on a stated preference, a configured default for an accessibility or discipline configuration, or the existing consent-gated prosodic signal; never by inference from word choice, punctuation, query length, error rate, retry behaviour or interaction timing, and construct no record of an inferred affective state. Where in effect it acknowledges the requester's stated position, reduces density and avoids imperative construction, while withholding no answer the records support and altering no confidence value.","The affective register requires a stated preference, a configured default, or a consented signal; an inferred affective state is refused.","=IF(COUNTIF({""stated"",""consented-signal""},""inferred-from-text"")>0,""Affective register applied"",""Refused - affective register requires a stated or consented signal"")",True
202,Media-Integrated Expression,Internal,§111.3,111,—,D7 Grounded Expression,Reasoning,D7.ch111,"Carry media assets inside a grounded response rather than alongside it, including an asset only where a knowledge record of the stabilized set references it and delivering it with a citation resolving it to that record; withhold an asset supporting no admitted record and an asset whose referencing record the scope description excluded, so no asset conveys what the text could not assert. A transformed asset carries its transformation provenance; an interpretive modulation selects among includable assets and cannot render one includable; an accessible equivalent accompanies each included asset at the same production stage.","An asset is included only where it is referenced by an admitted record within the scope description, and is delivered with that record's citation.","=IF(AND(1=1,0.91>=0.6),""Media asset admitted with citation"",""Refused - asset does not support a cited record"")",True
203,Sentence Aggregation,Internal,§112.2,112,—,D7 Grounded Expression,Reasoning,D7.ch112,"Realize propositions sharing a subject and joined by a conjunctive Narrative Graph edge as one sentence with a coordinated predicate, up to a configured maximum; refuse aggregation where confidence values differ beyond tolerance so a weakly-supported proposition is never qualified by coordination with a well-supported one; carry every constituent proposition's citation on the combined sentence so each clause remains resolvable to its record.",Aggregate where shared-subject propositions number at least two and their confidence values fall within the configured tolerance.,"=IF(AND(3>=2,1=1),""Aggregate into one sentence"",""Realize separately"")",True
